,events,woba_value,launch_speed,launch_angle
0,field_out,0.0,73.0,-19.0
15,double,1.25,92.1,26.0
25,field_out,0.0,48.6,26.0
36,field_out,0.0,65.4,-59.0
41,single,0.9,84.0,14.0
46,home_run,2.0,98.3,26.0
52,field_out,0.0,68.0,41.0
55,single,0.9,76.7,42.0
71,field_out,0.0,89.2,64.0
81,field_out,0.0,93.4,-17.0
91,single,0.9,107.6,9.0
95,field_out,0.0,95.8,-11.0
96,field_out,0.0,69.7,72.0
97,field_out,0.0,96.7,27.0
110,field_out,0.0,77.0,-26.0
112,field_out,0.0,92.0,3.0
134,single,0.9,74.9,-20.0
139,field_out,0.0,87.5,34.0
142,field_out,0.0,93.9,-7.0
151,field_out,0.0,89.8,60.0
155,single,0.9,63.6,-68.0
158,field_out,0.0,81.3,54.0
166,field_out,0.0,91.1,18.0
172,field_out,0.0,88.1,63.0
184,field_out,0.0,102.6,-15.0
188,double,1.25,98.2,28.0
190,field_out,0.0,86.9,61.0
199,double,1.25,90.7,6.0
202,field_out,0.0,87.9,30.0
205,field_out,0.0,103.2,-1.0
214,field_out,0.0,67.5,54.0
227,double,1.25,109.5,13.0
228,single,0.9,87.8,18.0
232,single,0.9,103.9,16.0
234,field_out,0.0,68.4,11.0
237,single,0.9,100.2,14.0
239,field_out,0.0,100.2,43.0
245,field_out,0.0,70.3,5.0
249,field_out,0.0,94.6,4.0
254,home_run,2.0,105.3,36.0
266,field_out,0.0,34.6,-56.0
267,double,1.25,104.4,17.0
275,field_out,0.0,89.9,-31.0
285,single,0.9,92.5,-7.0
291,single,0.9,63.2,18.0
299,single,0.9,81.9,17.0
300,home_run,2.0,101.3,39.0
303,field_out,0.0,61.7,-42.0
307,field_out,0.0,87.0,66.0
312,field_out,0.0,90.5,68.0
330,field_out,0.0,96.2,16.0
336,field_out,0.0,95.2,50.0
345,field_out,0.0,72.8,-11.0
349,field_out,0.0,73.7,-15.0
353,field_out,0.0,85.4,29.0
358,single,0.9,61.3,23.0
363,field_out,0.0,66.3,-26.0
366,field_out,0.0,85.6,26.0
381,field_out,0.0,57.1,43.0
390,field_out,0.0,95.1,24.0
391,field_out,0.0,87.7,0.0
394,field_out,0.0,84.7,-48.0
400,field_out,0.0,78.8,-46.0
402,single,0.9,83.4,17.0
407,single,0.9,109.3,-2.0
414,single,0.9,49.3,0.0
427,home_run,2.0,106.9,32.0
428,field_out,0.0,75.6,51.0
